entity,code,year,co2_t_per_person,population
Norway,NOR,2023,7.042548,5519167
Oman,OMN,2023,15.806381,5049267
Pakistan,PAK,2023,0.7549797,247504505
Palau,PLW,2023,12.180102,17751
Palestine,PSE,2023,0.8791239,5409201
Panama,PAN,2023,2.9160857,4458758
Papua New Guinea,PNG,2023,0.8044313,10389638
Paraguay,PRY,2023,1.1171128,6844150
Peru,PER,2023,1.9519441,33845616
Philippines,PHL,2023,1.4011557,114891199
Poland,POL,2023,7.307086,38762847
Portugal,PRT,2023,3.6068447,10430735
Qatar,QAT,2023,40.127865,2979086
Romania,ROU,2023,3.54976,19118482
Russia,RUS,2023,11.9164505,145440502
Rwanda,RWA,2023,0.14447089,13954473
Saint Helena,SHN,2023,2.0635817,5316
Saint Kitts and Nevis,KNA,2023,5.346964,46783
Saint Lucia,LCA,2023,2.8838367,179291
Saint Pierre and Miquelon,SPM,2023,9.335027,5707
Saint Vincent and the Grenadines,VCT,2023,2.4296513,101331
Samoa,WSM,2023,1.0838683,216673
Sao Tome and Principe,STP,2023,0.6056687,230882
Saudi Arabia,SAU,2023,20.36544,33264289
Senegal,SEN,2023,0.77896833,18077573
Serbia,SRB,2023,6.334863,6773204
Seychelles,SYC,2023,5.0117536,127961
Sierra Leone,SLE,2023,0.1631619,8460523
Singapore,SGP,2023,8.821352,5789092
Sint Maarten (Dutch part),SXM,2023,16.156517,42775
Slovakia,SVK,2023,5.5755577,5518057
Slovenia,SVN,2023,5.6704106,2118394
Solomon Islands,SLB,2023,0.35219383,800014
Somalia,SOM,2023,0.07061636,18358622
South Africa,ZAF,2023,6.9069405,63212386
South Korea,KOR,2023,11.385368,51748744
South Sudan,SSD,2023,0.1451047,11483370
Spain,ESP,2023,4.4970493,47911583
Sri Lanka,LKA,2023,0.8343349,22971615
Sudan,SDN,2023,0.35400742,50042800
Suriname,SUR,2023,4.561335,628892
Sweden,SWE,2023,3.4789953,10551493
Switzerland,CHE,2023,3.604899,8870564
Syria,SYR,2023,1.3424094,23594623
Taiwan,TWN,2023,11.45624,23317145
Tajikistan,TJK,2023,0.98791873,10389807
Tanzania,TZA,2023,0.30486846,66617607
Thailand,THA,2023,3.6921155,71702436
Togo,TGO,2023,0.3247885,8223853
Tonga,TON,2023,1.3943583,104613
Trinidad and Tobago,TTO,2023,23.644289,1502938
Tunisia,TUN,2023,2.6013684,12200434
Turkey,TUR,2023,5.5797157,87270502
Turkmenistan,TKM,2023,12.956967,7364437
Turks and Caicos Islands,TCA,2023,7.8931007,46221
Tuvalu,TUV,2023,1.1121277,9837
Uganda,UGA,2023,0.12816063,48656606
Ukraine,UKR,2023,3.6924176,37732833
United Arab Emirates,ARE,2023,19.772913,10642089
United Kingdom,GBR,2023,4.481841,68682965
United States,USA,2023,14.31945,343477330
Uruguay,URY,2023,2.2511077,3388083
Uzbekistan,UZB,2023,3.446397,35652311
Vanuatu,VUT,2023,0.5881556,320422
Venezuela,VEN,2023,4.2255874,28300861
Vietnam,VNM,2023,3.4617958,100352189
Wallis and Futuna,WLF,2023,2.5604703,11394
Yemen,YEM,2023,0.2574502,39390800
Zambia,ZMB,2023,0.5708717,20723967
Zimbabwe,ZWE,2023,0.8226813,16340829
