order,year,photographer,collection,licence,source_page,file_url,original_width,original_height,original_sha256,crop_width,delivered_file,delivered_width,delivered_height,delivered_sha256
1,1938,T. J. Hileman,Glacier National Park Archives,public domain,https://commons.wikimedia.org/wiki/File:Grinnell_Glacier_1938.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Grinnell_Glacier_1938.jpg,1200,1769,22026415bfad00c2ff9b5471824b46ed563736277f1a05019929d877dbd4a385,1194,frames/grinnell-1938.jpg,820,1215,15c233fde4cc8072d23f58acf23ea2cf15366f71063d7601fc74a2111e69f4fb
2,1981,Carl Key,U.S. Geological Survey,public domain,https://commons.wikimedia.org/wiki/File:Grinnell_Glacier_1981.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Grinnell_Glacier_1981.jpg,1258,1756,a12742db03f8f871547bac0ee5b0c709dabc337f374bac71bab52831008225c8,1185,frames/grinnell-1981.jpg,820,1215,e77358dad339f03869333eee1f2b24c413730bb41370ced2c772c904e941cc72
3,1998,Dan Fagre,U.S. Geological Survey,public domain,https://commons.wikimedia.org/wiki/File:Grinnell_Glacier_1998.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Grinnell_Glacier_1998.jpg,1180,1748,fd3c408a25440cef7037692e9b572226e651101d55572e2ebaf2578f2c940a24,1179,frames/grinnell-1998.jpg,820,1215,1e70dc7fc2af62ccf1e029be8eca3bbff12b064eeaaf1968bd39c3703e4447cf
4,2009,Lindsey Bengtson,U.S. Geological Survey,public domain,https://commons.wikimedia.org/wiki/File:Grinnell_Glacier_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Grinnell_Glacier_2009.jpg,1300,1748,3a9f40248e56643bf818e6dbc2935cfc1faa3564d5661586b98fcf590e06c58c,1179,frames/grinnell-2009.jpg,820,1215,1ad2e8a61cbd8f8ee27749abc878237d7e4f2d2d6b15b959ee3db69e86ba5ba9
