age_band,male,female
0-4,222640,211390
5-9,232332,220041
10-14,228691,216464
15-19,220727,208556
20-24,236265,220433
25-29,273794,261093
30-34,316016,307406
35-39,321756,314851
40-44,316615,311263
45-49,301101,298341
50-54,318884,317037
55-59,337549,332413
60-64,292211,293052
65-69,230172,241017
70-74,190920,213252
75-79,166155,194047
80-84,110482,144880
85-89,60739,96090
90-94,23170,48626
95-99,4616,13502
100+,385,1586
