year,value
1991,61.440
1992,40.156
1993,39.512
1994,30.883
1995,14.458
1996,-5.807
1997,-6.834
1998,1.177
1999,16.149
2000,20.224
2001,41.843
2002,48.921
2003,43.027
2004,40.462
2005,36.180
2006,39.368
2007,75.459
2008,98.167
2009,74.587
2010,64.939
2011,68.118
2012,71.127
2013,87.106
2014,76.223
2015,71.884
2016,71.030
2017,45.948
2018,39.860
2019,43.352
2020,53.804
2021,48.871
2022,68.760
2023,139.118
2024,82.792
