entity,code,t_per_person_2000,t_per_person_2023,population_2023
Namibia,NAM,0.944886,1.161845,2963102
New Caledonia,NCL,9.968356,17.483173,289879
Niger,NER,0.059385,0.119779,26159863
Nigeria,NGA,0.766174,0.567731,227882949
Nicaragua,NIC,0.738601,0.795516,6823619
Niue,NIU,3.543520,3.961434,1841
Netherlands,NLD,10.720250,6.467664,18092526
Norway,NOR,9.381491,7.042548,5519167
Nepal,NPL,0.123742,0.617884,29694614
Nauru,NRU,8.632178,4.933193,11900
New Zealand,NZL,8.352687,6.101065,5172837
Oman,OMN,10.509595,15.806381,5049267
Pakistan,PAK,0.671102,0.754980,247504505
Panama,PAN,1.872140,2.916086,4458758
Peru,PER,1.078170,1.951944,33845616
Philippines,PHL,0.897536,1.401156,114891199
Palau,PLW,10.874102,12.180102,17751
Papua New Guinea,PNG,0.530587,0.804431,10389638
Poland,POL,8.293836,7.307086,38762847
North Korea,PRK,2.922560,2.347813,26418196
Portugal,PRT,6.369969,3.606845,10430735
Paraguay,PRY,0.704287,1.117113,6844150
Palestine,PSE,0.526617,0.879124,5409201
French Polynesia,PYF,2.850757,3.139173,281125
Qatar,QAT,62.646393,40.127865,2979086
Romania,ROU,4.227758,3.549760,19118482
Russia,RUS,10.091322,11.916450,145440502
Rwanda,RWA,0.062715,0.144471,13954473
Saudi Arabia,SAU,19.139835,20.365440,33264289
Sudan,SDN,0.190231,0.354007,50042800
Senegal,SEN,0.391448,0.778968,18077573
Singapore,SGP,9.260569,8.821352,5789092
Saint Helena,SHN,1.818362,2.063582,5316
Solomon Islands,SLB,0.515727,0.352194,800014
Sierra Leone,SLE,0.061293,0.163162,8460523
El Salvador,SLV,0.950252,1.374072,6309629
Somalia,SOM,0.057621,0.070616,18358622
Saint Pierre and Miquelon,SPM,8.700333,9.335027,5707
Serbia,SRB,5.147302,6.334863,6773204
South Sudan,SSD,0.073691,0.145105,11483370
Sao Tome and Principe,STP,0.356150,0.605669,230882
Suriname,SUR,4.600505,4.561335,628892
Slovakia,SVK,7.655582,5.575558,5518057
Slovenia,SVN,7.579839,5.670411,2118394
Sweden,SWE,6.187081,3.478995,10551493
Eswatini,SWZ,1.157503,0.836739,1230507
Sint Maarten (Dutch part),SXM,17.942883,16.156517,42775
Seychelles,SYC,3.824956,5.011754,127961
Syria,SYR,3.277267,1.342409,23594623
Turks and Caicos Islands,TCA,5.665778,7.893101,46221
Chad,TCD,0.057273,0.147439,19319075
Togo,TGO,0.278313,0.324788,8223853
Thailand,THA,2.656054,3.692115,71702436
Tajikistan,TJK,0.355856,0.987919,10389807
Turkmenistan,TKM,8.589196,12.956967,7364437
East Timor,TLS,0.295076,0.459959,1384292
Tonga,TON,0.963319,1.394358,104613
Trinidad and Tobago,TTO,18.450056,23.644289,1502938
Tunisia,TUN,1.990385,2.601368,12200434
Turkey,TUR,3.560268,5.579716,87270502
Tuvalu,TUV,0.766046,1.112128,9837
Taiwan,TWN,10.161433,11.456240,23317145
Tanzania,TZA,0.075067,0.304868,66617607
Uganda,UGA,0.056703,0.128161,48656606
Ukraine,UKR,5.764382,3.692418,37732833
Uruguay,URY,1.615627,2.251108,3388083
United States,USA,21.397860,14.319450,343477330
Uzbekistan,UZB,4.981572,3.446397,35652311
Saint Vincent and the Grenadines,VCT,1.258319,2.429651,101331
Venezuela,VEN,5.826397,4.225587,28300861
British Virgin Islands,VGB,5.785453,4.752365,39009
Vietnam,VNM,0.699062,3.461796,100352189
Vanuatu,VUT,0.452370,0.588156,320422
Wallis and Futuna,WLF,1.485004,2.560470,11394
Samoa,WSM,0.786461,1.083868,216673
Yemen,YEM,0.806749,0.257450,39390800
South Africa,ZAF,8.022367,6.906941,63212386
Zambia,ZMB,0.178097,0.570872,20723967
Zimbabwe,ZWE,1.161661,0.822681,16340829
