age_band,male,female
0-4,2369723,2297427
5-9,2073417,2005535
10-14,1801457,1738611
15-19,1503382,1449809
20-24,1211505,1166342
25-29,949326,911500
30-34,744709,712860
35-39,607877,579754
40-44,507282,480886
45-49,406649,388044
50-54,325810,317146
55-59,263966,261197
60-64,204743,208331
65-69,146698,154405
70-74,94294,103136
75-79,46961,65511
80-84,19117,28527
85-89,4679,7593
90-94,547,1042
95-99,21,54
100+,0,0
