entity,code,t_per_person_2000,t_per_person_2023,population_2000,population_2023
Macao,MAC,3.493785,1.460767,437316,713916
Morocco,MAR,1.168016,1.828602,28423439,37712516
Moldova,MDA,0.843678,1.737586,4234969,3067072
Madagascar,MDG,0.118378,0.142543,16516336,31195937
Maldives,MDV,1.597986,4.192578,282025,526009
Mexico,MEX,3.968903,3.532100,98625553,129739761
Marshall Islands,MHL,1.950435,3.802466,50721,38849
North Macedonia,MKD,4.115973,4.006106,2057254,1831800
Mali,MLI,0.092240,0.283688,11559291,23769130
Malta,MLT,6.171891,3.317301,399905,532964
Myanmar,MMR,0.225639,0.587303,45290850,54133800
Montenegro,MNE,2.389650,3.798970,634198,633553
Mongolia,MNG,3.027011,12.874261,2455182,3431938
Mozambique,MOZ,0.072916,0.270356,18129652,33635163
Mauritania,MRT,0.426201,1.002878,2613450,5022442
Montserrat,MSR,5.075797,5.764865,5053,4440
Mauritius,MUS,2.210509,3.602115,1216632,1273591
Malawi,MWI,0.075467,0.087781,11315947,21104480
Malaysia,MYS,5.350155,7.865810,22967817,35126295
Namibia,NAM,0.944886,1.161845,1818650,2963102
New Caledonia,NCL,9.968356,17.483173,223110,289879
Niger,NER,0.059385,0.119779,11509634,26159863
Nigeria,NGA,0.766174,0.567731,126382490,227882949
Nicaragua,NIC,0.738601,0.795516,5022636,6823619
Niue,NIU,3.543520,3.961434,2068,1841
Netherlands,NLD,10.720250,6.467664,16058757,18092526
Norway,NOR,9.381491,7.042548,4490864,5519167
Nepal,NPL,0.123742,0.617884,24546509,29694614
Nauru,NRU,8.632178,4.933193,10187,11900
New Zealand,NZL,8.352687,6.101065,3857576,5172837
Oman,OMN,10.509595,15.806381,2282139,5049267
Pakistan,PAK,0.671102,0.754980,154879124,247504505
Panama,PAN,1.872140,2.916086,3010376,4458758
Peru,PER,1.078170,1.951944,26598328,33845616
Philippines,PHL,0.897536,1.401156,79625401,114891199
Palau,PLW,10.874102,12.180102,19206,17751
Papua New Guinea,PNG,0.530587,0.804431,5537068,10389638
Poland,POL,8.293836,7.307086,38258077,38762847
North Korea,PRK,2.922560,2.347813,23665909,26418196
Portugal,PRT,6.369969,3.606845,10283196,10430735
Paraguay,PRY,0.704287,1.117113,5100875,6844150
Palestine,PSE,0.526617,0.879124,3151800,5409201
French Polynesia,PYF,2.850757,3.139173,240346,281125
Qatar,QAT,62.646393,40.127865,644993,2979086
Romania,ROU,4.227758,3.549760,22046264,19118482
Russia,RUS,10.091322,11.916450,146717784,145440502
Rwanda,RWA,0.062715,0.144471,8213936,13954473
Saudi Arabia,SAU,19.139835,20.365440,16177733,33264289
