acteur,emissions_tco2e,glace_fondue_mt,manteau_neigeux_km2,basis
Jeux (émissions officielles),930000,14,2.3,publié
Eni,700000,11,1.7,publié
Stellantis + ITA Airways,600000,9,1.5,dérivé par soustraction
