Entity,Code,Year,Life expectancy at birth,GDP per capita,Population,World region,GDP per capita (Annotations)
Morocco,MAR,2021,73.3848,8391.295,36954443,Africa,
Mozambique,MOZ,2021,60.2683,1073.57,31707798,Africa,
Myanmar,MMR,2021,65.5535,5113.337,53387103,Asia,
Namibia,NAM,2021,60.8499,7796.0615,2810552,Africa,
Nepal,NPL,2021,68.3846,2902.0503,29475016,Asia,
Netherlands,NLD,2021,81.356,48001.84,17730565,Europe,
New Zealand,NZL,2021,82.3003,37837.457,5107694,Oceania,
Nicaragua,NIC,2021,70.4777,4978.8413,6644745,North America,
Niger,NER,2021,59.5422,941.2575,24502145,Africa,
Nigeria,NGA,2021,53.455,5029.0884,218529286,Africa,
North Korea,PRK,2021,73.4366,1577.1321,26232530,Asia,
North Macedonia,MKD,2021,73.2918,13692.046,1851109,Europe,
Norway,NOR,2021,83.1656,86334.59,5408082,Europe,
Oman,OMN,2021,75.9693,46573.574,4500429,Asia,
Pakistan,PAK,2021,65.7731,5463.7744,239477805,Asia,
Palestine,PSE,2021,73.8896,4698.9326,5185341,Asia,
Panama,PAN,2021,77.0037,21539.07,4345410,North America,
Paraguay,PRY,2021,68.1081,8845.659,6684184,South America,
Peru,PER,2021,71.5962,12550.461,33155883,South America,
Philippines,PHL,2021,66.6755,7894.1777,113100947,Asia,
Poland,POL,2021,75.6387,30687.662,38040303,Europe,
Portugal,PRT,2021,81.3978,27138.479,10390957,Europe,
Puerto Rico,PRI,2021,79.7698,34095.492,3253210,North America,
Qatar,QAT,2021,81.083,143468.75,2814988,Asia,
Romania,ROU,2021,72.7405,26102.588,19248159,Europe,
Russia,RUS,2021,69.8066,26119.947,145836172,Europe,
Rwanda,RWA,2021,66.8496,2106.9736,13355260,Africa,
Saint Lucia,LCA,2021,69.1194,9067.721,178540,North America,
Sao Tome and Principe,STP,2021,68.0262,3821.0012,221975,Africa,
Saudi Arabia,SAU,2021,77.0887,49841.145,31328374,Asia,
Senegal,SEN,2021,66.8685,2607.2322,17220866,Africa,
Serbia,SRB,2021,72.853,16563.828,6835429,Europe,
Seychelles,SYC,2021,71.2198,30125.953,123000,Africa,
Sierra Leone,SLE,2021,60.2596,1665.1047,8094603,Africa,
Singapore,SGP,2021,83.4846,77945.484,5546291,Asia,
Slovakia,SVK,2021,74.5901,27365.623,5442766,Europe,
Slovenia,SVN,2021,80.434,31019.943,2113495,Europe,
South Africa,ZAF,2021,62.0099,11273.159,61502602,Africa,
South Korea,KOR,2021,83.8517,40277.953,51848401,Asia,
Spain,ESP,2021,82.9508,32553.05,47735670,Europe,
Sri Lanka,LKA,2021,76.2779,11751.948,22700377,Asia,
Sweden,SWE,2021,83.0196,46226.543,10416134,Europe,
Switzerland,CHE,2021,83.6477,62595.31,8707019,Europe,
Syria,SYR,2021,72.4175,2682.3398,21628837,Asia,
Taiwan,TWN,2021,80.7847,51943.883,23558330,Asia,
Tajikistan,TJK,2021,69.5935,5205.606,9966912,Asia,
Tanzania,TZA,2021,66.1306,3008.113,62830410,Africa,
Thailand,THA,2021,77.6065,16019.519,71727338,Asia,
Togo,TGO,2021,61.3285,1534.8236,7936185,Africa,
Trinidad and Tobago,TTO,2021,71.1114,25237.664,1487715,North America,
Tunisia,TUN,2021,72.8928,10726.256,12048625,Africa,
Turkey,TUR,2021,75.7222,26175.93,86686254,Asia,
Turkmenistan,TKM,2021,69.3525,17169.06,7092042,Asia,
Uganda,UGA,2021,66.4497,2083.8281,45910931,Africa,
Ukraine,UKR,2021,71.6308,10133.885,44298642,Europe,
United Arab Emirates,ARE,2021,79.0831,72460.04,9789055,Asia,
United Kingdom,GBR,2021,80.708,37134.33,67668788,Europe,
United States,USA,2021,76.3836,57522.703,340161438,North America,
Uruguay,URY,2021,75.4345,19222.295,3396693,South America,
Uzbekistan,UZB,2021,71.6808,12076.092,34243696,Asia,
Venezuela,VEN,2021,71.5364,4896.802,28237830,South America,
Vietnam,VNM,2021,74.1448,7507.759,98935101,Asia,
Yemen,YEM,2021,66.0191,1972.2102,37140234,Asia,
Zambia,ZMB,2021,62.3631,3321.5945,19603610,Africa,
Zimbabwe,ZWE,2021,60.1347,1687.2532,15797220,Africa,
