Entity,Code,Year,Coal
United Kingdom,GBR,2010,28.160498
United Kingdom,GBR,2011,29.469795
United Kingdom,GBR,2012,39.242035
United Kingdom,GBR,2013,36.357037
United Kingdom,GBR,2014,29.649788
United Kingdom,GBR,2015,22.392067
United Kingdom,GBR,2016,9.042397
United Kingdom,GBR,2017,6.661345
United Kingdom,GBR,2018,5.0425453
United Kingdom,GBR,2019,2.114979
United Kingdom,GBR,2020,1.8369321
United Kingdom,GBR,2021,2.2052615
United Kingdom,GBR,2022,1.8300574
United Kingdom,GBR,2023,1.2921752
United Kingdom,GBR,2024,0.6686374
