Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8651001,NTD_RAB2,COUNTRY,CZE,YEAR,EUR,Europe,,2021,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3934916,NTD_RAB2,COUNTRY,LVA,YEAR,EUR,Europe,,2010,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5696299,NTD_RAB2,COUNTRY,TGO,YEAR,AFR,Africa,,2022,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1246169,NTD_RAB2,COUNTRY,KEN,YEAR,AFR,Africa,,2015,,,,,,,,38,38.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2872774,NTD_RAB2,COUNTRY,BEL,YEAR,EUR,Europe,,2012,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2905734,NTD_RAB2,COUNTRY,TCD,YEAR,AFR,Africa,,2017,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6488248,NTD_RAB2,COUNTRY,COK,YEAR,WPR,Western Pacific,,2022,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8466262,NTD_RAB2,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,9,9.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1821892,NTD_RAB2,COUNTRY,AGO,YEAR,AFR,Africa,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4218305,NTD_RAB2,COUNTRY,MRT,YEAR,AFR,Africa,,2023,,,,,,,,4,4.0,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9304563,NTD_RAB2,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8025065,NTD_RAB2,COUNTRY,DNK,YEAR,EUR,Europe,,2014,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4746017,NTD_RAB2,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3505908,NTD_RAB2,COUNTRY,SVK,YEAR,EUR,Europe,,2019,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6969472,NTD_RAB2,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2018,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4027283,NTD_RAB2,COUNTRY,IDN,YEAR,WPR,Western Pacific,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2427904,NTD_RAB2,COUNTRY,ESP,YEAR,EUR,Europe,,2015,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4040565,NTD_RAB2,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5801957,NTD_RAB2,COUNTRY,UZB,YEAR,EUR,Europe,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7668811,NTD_RAB2,COUNTRY,MRT,YEAR,AFR,Africa,,2012,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6191309,NTD_RAB2,COUNTRY,SWE,YEAR,EUR,Europe,,2011,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9581384,NTD_RAB2,COUNTRY,CMR,YEAR,AFR,Africa,,2024,,,,,,,,4,4.0,,,,2025-10-30T17:51:54.843+01:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9627576,NTD_RAB2,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1374913,NTD_RAB2,COUNTRY,MKD,YEAR,EUR,Europe,,2014,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9746308,NTD_RAB2,COUNTRY,SYC,YEAR,AFR,Africa,,2015,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3077309,NTD_RAB2,COUNTRY,GRD,YEAR,AMR,Americas,,2021,,,,,,,,0,0.0,,,,2026-07-15T14:04:38.643+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8196374,NTD_RAB2,COUNTRY,NRU,YEAR,WPR,Western Pacific,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6554324,NTD_RAB2,COUNTRY,GUY,YEAR,AMR,Americas,,2022,,,,,,,,0,0.0,,,,2026-07-15T14:04:38.643+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8519118,NTD_RAB2,COUNTRY,SMR,YEAR,EUR,Europe,,2021,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3571941,NTD_RAB2,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,2011,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7114750,NTD_RAB2,COUNTRY,SUR,YEAR,AMR,Americas,,2021,,,,,,,,0,0.0,,,,2026-07-15T14:04:38.643+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3941585,NTD_RAB2,COUNTRY,GNQ,YEAR,AFR,Africa,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9100243,NTD_RAB2,COUNTRY,CHL,YEAR,AMR,Americas,,2016,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2427932,NTD_RAB2,COUNTRY,ZMB,YEAR,AFR,Africa,,2014,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9113451,NTD_RAB2,COUNTRY,BFA,YEAR,AFR,Africa,,2012,,,,,,,,29,29.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5788763,NTD_RAB2,COUNTRY,VNM,YEAR,WPR,Western Pacific,,2018,,,,,,,,103,103.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9331003,NTD_RAB2,COUNTRY,KNA,YEAR,AMR,Americas,,2017,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9713365,NTD_RAB2,COUNTRY,CAN,YEAR,AMR,Americas,,2019,,,,,,,,1,1.0,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9746347,NTD_RAB2,COUNTRY,ITA,YEAR,EUR,Europe,,2014,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3004731,NTD_RAB2,COUNTRY,BOL,YEAR,AMR,Americas,,2020,,,,,,,,1,1.0,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3427121,NTD_RAB2,COUNTRY,POL,YEAR,EUR,Europe,,2012,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6930088,NTD_RAB2,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2013,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5326842,NTD_RAB2,COUNTRY,MCO,YEAR,EUR,Europe,,2023,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8823005,NTD_RAB2,COUNTRY,PNG,YEAR,WPR,Western Pacific,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5505070,NTD_RAB2,COUNTRY,VUT,YEAR,WPR,Western Pacific,,2011,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8948504,NTD_RAB2,COUNTRY,LBR,YEAR,AFR,Africa,,2018,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5808618,NTD_RAB2,COUNTRY,VEN,YEAR,AMR,Americas,,2020,,,,,,,,0,0.0,,,,2026-07-15T14:04:38.643+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1355240,NTD_RAB2,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2016,,,,,,,,2,2.0,,,,2024-06-03T07:26:23.447+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6263882,NTD_RAB2,COUNTRY,HUN,YEAR,EUR,Europe,,2016,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6310083,NTD_RAB2,COUNTRY,SWE,YEAR,EUR,Europe,,2020,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
